"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 29 13:23:05 UTC 2025","Fri Aug 29 13:23:38 UTC 2025","32669","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testGetAllBooks","testGetAllBooks","Retrieve all books"
"failed","Fri Aug 29 13:26:43 UTC 2025","Fri Aug 29 13:26:43 UTC 2025","245","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testDeleteNonExistentBook","testDeleteNonExistentBook","Delete non-existent book"
"failed","Fri Aug 29 13:27:45 UTC 2025","Fri Aug 29 13:28:15 UTC 2025","30661","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testCreateMultipleBooks","testCreateMultipleBooks","Create multiple books with different data sets"
"failed","Fri Aug 29 13:26:43 UTC 2025","Fri Aug 29 13:27:14 UTC 2025","30659","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testCreateBookWithInvalidData","testCreateBookWithInvalidData","Create book with invalid data"
"failed","Fri Aug 29 13:28:15 UTC 2025","Fri Aug 29 13:28:46 UTC 2025","30653","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testCreateMultipleBooks","testCreateMultipleBooks","Create multiple books with different data sets"
"failed","Fri Aug 29 13:24:09 UTC 2025","Fri Aug 29 13:24:40 UTC 2025","30741","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testCreateBook","testCreateBook","Create a new book"
"failed","Fri Aug 29 13:23:38 UTC 2025","Fri Aug 29 13:24:09 UTC 2025","30689","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testGetBookById","testGetBookById","Retrieve a specific book by ID"
"failed","Fri Aug 29 13:27:14 UTC 2025","Fri Aug 29 13:27:45 UTC 2025","30652","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testCreateMultipleBooks","testCreateMultipleBooks","Create multiple books with different data sets"
"failed","Fri Aug 29 13:24:40 UTC 2025","Fri Aug 29 13:25:41 UTC 2025","61621","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testUpdateBook","testUpdateBook","Update an existing book (self-sufficient)"
"failed","Fri Aug 29 13:26:12 UTC 2025","Fri Aug 29 13:26:43 UTC 2025","30670","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testGetNonExistentBook","testGetNonExistentBook","Get non-existent book"
"failed","Fri Aug 29 13:26:43 UTC 2025","Fri Aug 29 13:26:43 UTC 2025","214","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testUpdateNonExistentBook","testUpdateNonExistentBook","Update non-existent book"
"failed","Fri Aug 29 13:25:41 UTC 2025","Fri Aug 29 13:26:12 UTC 2025","30883","Surefire suite","Surefire test","com.api.tests.BooksApiTest","com.api.tests.BooksApiTest","testDeleteBook","testDeleteBook","Delete a book (self-sufficient)"
